LLM,Rank,Model,Percent
GPT-5.1,1,f1,10.44848484848485
GPT-5.1,2,accuracy,6.909090909090909
GPT-5.1,3,exactmatch,5.551515151515152
GPT-5.1,4,bleu,3.5636363636363635
GPT-5.1,5,rouge,2.690909090909091
GPT-5.1,6,bertscore,2.278787878787879
GPT-5.1,7,perplexity,2.109090909090909
GPT-5.1,8,recall,1.4787878787878788
GPT-5.1,9,precision,1.4787878787878788
GPT-5.1,10,aucroc,1.4545454545454546
Gemini,1,f1,6.404527852249032
Gemini,2,accuracy,5.332141793267799
Gemini,3,exactmatch,3.723562704795949
Gemini,4,perplexity,2.8596961572832886
Gemini,5,rouge,2.412868632707774
Gemini,6,attacksuccessrate,2.114983616324099
Gemini,7,pass1,1.817098599940423
Gemini,8,bertscore,1.817098599940423
Gemini,9,aucroc,1.6681560917485851
Gemini,10,inferencelatency,1.6681560917485851
Deepseek,1,accuracy,15.652173913043478
Deepseek,2,f1,12.765217391304349
Deepseek,3,bleu,3.860869565217391
Deepseek,4,rouge,2.643478260869565
Deepseek,5,precision,2.4695652173913043
Deepseek,6,recall,2.4
Deepseek,7,perplexity,2.4
Deepseek,8,successrate,2.226086956521739
Deepseek,9,latency,1.9130434782608696
Deepseek,10,exactmatch,1.8782608695652172
