source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
GT,Accuracy,Open,692,73.38,33.59,57.91
GT,Accuracy,Closed,503,53.34,34.31,42.09
GT,Efficiency / Latency,Open,261,27.68,12.67,61.85
GT,Continuous Prediction,Open,238,25.24,11.55,56.67
GT,Ranking,Open,188,19.94,9.13,61.24
GT,Continuous Prediction,Closed,182,19.3,12.41,43.33
GT,Regression,Open,173,18.35,8.4,59.66
GT,Efficiency / Latency,Closed,161,17.07,10.98,38.15
GT,Probability,Open,121,12.83,5.87,65.76
GT,Ranking,Closed,119,12.62,8.12,38.76
GT,Regression,Closed,117,12.41,7.98,40.34
GT,User Experience,Closed,114,12.09,7.78,50.0
GT,User Experience,Open,114,12.09,5.53,50.0
GT,Safety,Open,104,11.03,5.05,55.32
GT,Safety,Closed,84,8.91,5.73,44.68
GT,Probability,Closed,63,6.68,4.3,34.24
GT,Robustness,Open,62,6.57,3.01,56.88
GT,Uncertainty,Open,52,5.51,2.52,59.77
GT,Robustness,Closed,47,4.98,3.21,43.12
GT,Uncertainty,Closed,35,3.71,2.39,40.23
GT,Fairness,Open,30,3.18,1.46,57.69
GT,Explainability,Open,25,2.65,1.21,56.82
GT,Fairness,Closed,22,2.33,1.5,42.31
GT,Explainability,Closed,19,2.01,1.3,43.18
