entity_type,dimension,llm,jsd_full,jsd_matched_mean,jsd_matched_ci_lo,jsd_matched_ci_hi,effective_n
Dataset,Modalities,GPT-5.1,0.0028,0.0026,0.0023,0.003,904
Dataset,TaskTypes,GPT-5.1,0.0147,0.0104,0.0094,0.0115,904
Dataset,Domains,GPT-5.1,0.0062,0.0031,0.0024,0.0038,904
Dataset,Annotation,GPT-5.1,0.002,0.0018,0.0014,0.0024,904
Dataset,Size,GPT-5.1,0.0317,0.0269,0.0239,0.0301,904
Dataset,Granularity,GPT-5.1,0.006,0.0038,0.003,0.0047,904
Dataset,Linguistic,GPT-5.1,0.0022,0.0012,0.0006,0.0018,904
Dataset,CognitiveAffective,GPT-5.1,0.0047,0.0026,0.0022,0.0031,904
Dataset,DataQuality,GPT-5.1,0.0001,0.0001,0.0,0.0003,904
Dataset,Modalities,Gemini,0.0018,0.0015,0.0011,0.0019,891
Dataset,TaskTypes,Gemini,0.0154,0.0121,0.0109,0.0134,891
Dataset,Domains,Gemini,0.0066,0.0027,0.0022,0.0033,891
Dataset,Annotation,Gemini,0.0044,0.0044,0.0036,0.0053,891
Dataset,Size,Gemini,0.018,0.0138,0.0114,0.0161,891
Dataset,Granularity,Gemini,0.0059,0.0012,0.0007,0.0018,891
Dataset,Linguistic,Gemini,0.0016,0.0011,0.0005,0.0017,891
Dataset,CognitiveAffective,Gemini,0.0038,0.0021,0.0016,0.0027,891
Dataset,DataQuality,Gemini,0.0006,0.0,0.0,0.0001,891
Dataset,Modalities,DeepSeek,0.0024,0.0013,0.0009,0.0017,910
Dataset,TaskTypes,DeepSeek,0.0142,0.0113,0.0102,0.0125,910
Dataset,Domains,DeepSeek,0.0061,0.0033,0.0026,0.004,910
Dataset,Annotation,DeepSeek,0.0016,0.0017,0.0012,0.0023,910
Dataset,Size,DeepSeek,0.0306,0.0225,0.0196,0.0257,910
Dataset,Granularity,DeepSeek,0.0071,0.0048,0.0038,0.006,910
Dataset,Linguistic,DeepSeek,0.0005,0.0004,0.0001,0.0008,910
Dataset,CognitiveAffective,DeepSeek,0.0062,0.0035,0.0028,0.0042,910
Dataset,DataQuality,DeepSeek,0.0,0.0009,0.0004,0.0015,910
Model,Architecture,GPT-5.1,0.0205,0.0216,0.02,0.0232,942
Model,TrainingParadigm,GPT-5.1,0.0073,0.004,0.0036,0.0044,942
Model,Provider,GPT-5.1,0.1117,0.0929,0.0877,0.0983,942
Model,Openness,GPT-5.1,0.0018,0.0,0.0,0.0002,942
Model,Size,GPT-5.1,0.0151,0.011,0.0092,0.0129,942
Model,Architecture,Gemini,0.0244,0.0255,0.0236,0.0276,928
Model,TrainingParadigm,Gemini,0.0056,0.0029,0.0026,0.0034,928
Model,Provider,Gemini,0.1012,0.0881,0.0826,0.0937,928
Model,Openness,Gemini,0.0005,0.0001,0.0,0.0003,928
Model,Size,Gemini,0.014,0.0112,0.0094,0.0132,928
Model,Architecture,DeepSeek,0.0167,0.0167,0.0145,0.019,948
Model,TrainingParadigm,DeepSeek,0.0057,0.003,0.0026,0.0034,948
Model,Provider,DeepSeek,0.1384,0.1122,0.1054,0.1196,948
Model,Openness,DeepSeek,0.009,0.0021,0.0013,0.0031,948
Model,Size,DeepSeek,0.0358,0.0281,0.0246,0.032,948
Metric,EvType,GPT-5.1,0.0178,0.0135,0.0119,0.0152,937
Metric,EvType,Gemini,0.0114,0.007,0.0056,0.0084,924
Metric,EvType,DeepSeek,0.0211,0.0153,0.0131,0.0175,943
