cooccurrence,llm,residual_corr,n_sig_gt,n_sig_llm,n_sign_flips,shared_rows,shared_cols
TaskTypes × Architecture,GPT-5.1,0.725,7,10,0,18,8
TaskTypes × Architecture,Gemini,0.7457,7,9,0,17,8
TaskTypes × Architecture,DeepSeek,0.7177,7,8,0,17,8
TaskTypes × Provider,GPT-5.1,0.4922,1,9,0,18,12
TaskTypes × Provider,Gemini,0.4088,1,11,3,17,13
TaskTypes × Provider,DeepSeek,0.4353,1,5,1,17,10
TaskTypes × Openness,GPT-5.1,0.4982,0,0,0,18,2
TaskTypes × Openness,Gemini,0.3722,0,0,0,17,2
TaskTypes × Openness,DeepSeek,0.5906,0,0,0,17,2
Size × Architecture,GPT-5.1,0.7861,0,0,0,3,8
Size × Architecture,Gemini,0.7555,0,0,0,3,8
Size × Architecture,DeepSeek,0.4536,0,0,0,3,8
Size × Provider,GPT-5.1,0.1925,0,0,0,3,11
Size × Provider,Gemini,0.4967,0,0,0,3,13
Size × Provider,DeepSeek,0.3749,0,0,0,3,10
Size × Openness,GPT-5.1,-0.0913,0,0,0,3,2
Size × Openness,Gemini,0.8248,0,0,0,3,2
Size × Openness,DeepSeek,0.7319,0,0,0,3,2
CogAff × Architecture,GPT-5.1,0.7236,1,2,0,14,8
CogAff × Architecture,Gemini,0.6801,1,2,0,14,8
CogAff × Architecture,DeepSeek,0.6729,1,2,0,14,8
CogAff × Provider,GPT-5.1,0.493,0,15,2,14,12
CogAff × Provider,Gemini,0.4984,0,7,1,14,13
CogAff × Provider,DeepSeek,0.3817,0,6,0,14,10
CogAff × Openness,GPT-5.1,0.7756,0,0,0,14,2
CogAff × Openness,Gemini,0.7171,0,0,0,14,2
CogAff × Openness,DeepSeek,0.6458,0,0,0,14,2
EvType × Architecture,GPT-5.1,0.6116,1,1,0,12,8
EvType × Architecture,Gemini,0.5147,1,1,0,12,8
EvType × Architecture,DeepSeek,0.5498,1,3,0,12,8
EvType × Provider,GPT-5.1,0.3223,0,3,1,12,11
EvType × Provider,Gemini,0.2887,0,2,1,12,13
EvType × Provider,DeepSeek,0.4137,0,1,0,12,10
EvType × Openness,GPT-5.1,0.7159,0,0,0,12,2
EvType × Openness,Gemini,0.7262,0,0,0,12,2
EvType × Openness,DeepSeek,0.8512,0,0,0,12,2
