entity_type,dimension,llm,jsd_llm,jsd_local_bm25,n_papers,neighbors
Dataset,Entity names,GPT-5.1,0.6889,0.5208,904,25
Dataset,Modalities,GPT-5.1,0.0028,0.0125,904,25
Dataset,TaskTypes,GPT-5.1,0.0147,0.0258,904,25
Dataset,Domains,GPT-5.1,0.0062,0.0424,904,25
Dataset,Annotation,GPT-5.1,0.002,0.0102,904,25
Dataset,Size,GPT-5.1,0.0317,0.0,904,25
Dataset,Granularity,GPT-5.1,0.006,0.0303,904,25
Dataset,Linguistic,GPT-5.1,0.0022,0.0001,904,25
Dataset,CognitiveAffective,GPT-5.1,0.0047,0.0165,904,25
Dataset,DataQuality,GPT-5.1,0.0001,0.0006,904,25
Dataset,Entity names,Gemini,0.6875,0.5269,891,25
Dataset,Modalities,Gemini,0.0018,0.0145,891,25
Dataset,TaskTypes,Gemini,0.0154,0.0266,891,25
Dataset,Domains,Gemini,0.0066,0.0429,891,25
Dataset,Annotation,Gemini,0.0044,0.01,891,25
Dataset,Size,Gemini,0.018,0.0,891,25
Dataset,Granularity,Gemini,0.0059,0.0322,891,25
Dataset,Linguistic,Gemini,0.0016,0.0003,891,25
Dataset,CognitiveAffective,Gemini,0.0038,0.0152,891,25
Dataset,DataQuality,Gemini,0.0006,0.001,891,25
Dataset,Entity names,DeepSeek,0.701,0.5542,910,25
Dataset,Modalities,DeepSeek,0.0024,0.0126,910,25
Dataset,TaskTypes,DeepSeek,0.0142,0.0307,910,25
Dataset,Domains,DeepSeek,0.0061,0.0476,910,25
Dataset,Annotation,DeepSeek,0.0016,0.0097,910,25
Dataset,Size,DeepSeek,0.0306,0.0002,910,25
Dataset,Granularity,DeepSeek,0.0071,0.0326,910,25
Dataset,Linguistic,DeepSeek,0.0005,0.0004,910,25
Dataset,CognitiveAffective,DeepSeek,0.0062,0.0204,910,25
Dataset,DataQuality,DeepSeek,0.0,0.0003,910,25
Model,Entity names,GPT-5.1,0.6973,0.5741,942,25
Model,Architecture,GPT-5.1,0.0205,0.0994,942,25
Model,TrainingParadigm,GPT-5.1,0.0073,0.0542,942,25
Model,Provider,GPT-5.1,0.1117,0.2455,942,25
Model,Openness,GPT-5.1,0.0018,0.1504,942,25
Model,Size,GPT-5.1,0.0151,0.0721,942,25
Model,Entity names,Gemini,0.7405,0.5689,928,25
Model,Architecture,Gemini,0.0244,0.1043,928,25
Model,TrainingParadigm,Gemini,0.0056,0.0534,928,25
Model,Provider,Gemini,0.1012,0.2402,928,25
Model,Openness,Gemini,0.0005,0.1463,928,25
Model,Size,Gemini,0.014,0.0707,928,25
Model,Entity names,DeepSeek,0.8133,0.6139,948,25
Model,Architecture,DeepSeek,0.0167,0.1083,948,25
Model,TrainingParadigm,DeepSeek,0.0057,0.0583,948,25
Model,Provider,DeepSeek,0.1384,0.2902,948,25
Model,Openness,DeepSeek,0.009,0.1864,948,25
Model,Size,DeepSeek,0.0358,0.0894,948,25
Metric,Entity names,GPT-5.1,0.501,0.4507,937,25
Metric,EvType,GPT-5.1,0.0178,0.0591,937,25
Metric,Entity names,Gemini,0.5688,0.4809,924,25
Metric,EvType,Gemini,0.0114,0.0728,924,25
Metric,Entity names,DeepSeek,0.4975,0.4974,943,25
Metric,EvType,DeepSeek,0.0211,0.0843,943,25
